crawl_timestamp,url,title,seo_score,page_priority,severity,issue,explanation,action
2026-08-17T04:05:50Z,https://engineerwala.com/,Engineer Wala - Automotive Learning Made Easy,66,High,Low,No external references,Page par koi external reference detect nahi hua.,Technical ya factual claims ke liye zarurat par authoritative source ka relevant link add karo.
2026-08-17T04:05:50Z,https://engineerwala.com/about-us/,About Us - Engineer Wala,66,High,Low,No external references,Page par koi external reference detect nahi hua.,Technical ya factual claims ke liye zarurat par authoritative source ka relevant link add karo.
2026-08-17T04:05:50Z,https://engineerwala.com/bad-ignition-coil-symptoms/,Bad Ignition Coil Symptoms & How To Fix Them - Engineer Wala,89,Medium,Low,No external references,Page par koi external reference detect nahi hua.,Technical ya factual claims ke liye zarurat par authoritative source ka relevant link add karo.
2026-08-17T04:05:50Z,https://engineerwala.com/battery-saver-active/,Battery Saver Active Warning: What It Means - Engineer Wala,89,Medium,Low,No external references,Page par koi external reference detect nahi hua.,Technical ya factual claims ke liye zarurat par authoritative source ka relevant link add karo.
2026-08-17T04:05:50Z,https://engineerwala.com/car-engine-parts/,"Car Engine Parts: Names, Functions & Diagram - Engineer Wala",74,High,Low,No external references,Page par koi external reference detect nahi hua.,Technical ya factual claims ke liye zarurat par authoritative source ka relevant link add karo.
2026-08-17T04:05:50Z,https://engineerwala.com/car-not-starting/,Car Not Starting? Common Causes & Fixes - Engineer Wala,89,Medium,Low,No external references,Page par koi external reference detect nahi hua.,Technical ya factual claims ke liye zarurat par authoritative source ka relevant link add karo.
2026-08-17T04:05:50Z,https://engineerwala.com/category/automobile/,Automobile - Engineer Wala,66,High,Low,No external references,Page par koi external reference detect nahi hua.,Technical ya factual claims ke liye zarurat par authoritative source ka relevant link add karo.
2026-08-17T04:05:50Z,https://engineerwala.com/category/home-page/,Home - Engineer Wala,58,High,Low,No external references,Page par koi external reference detect nahi hua.,Technical ya factual claims ke liye zarurat par authoritative source ka relevant link add karo.
2026-08-17T04:05:50Z,https://engineerwala.com/category/materials/,Materials - Engineer Wala,59,High,Low,No external references,Page par koi external reference detect nahi hua.,Technical ya factual claims ke liye zarurat par authoritative source ka relevant link add karo.
2026-08-17T04:05:50Z,https://engineerwala.com/category/tools/,Tools - Engineer Wala,59,High,Low,No external references,Page par koi external reference detect nahi hua.,Technical ya factual claims ke liye zarurat par authoritative source ka relevant link add karo.
2026-08-17T04:05:50Z,https://engineerwala.com/contact-us/,Contact Us - Engineer Wala,66,High,Low,No external references,Page par koi external reference detect nahi hua.,Technical ya factual claims ke liye zarurat par authoritative source ka relevant link add karo.
2026-08-17T04:05:50Z,https://engineerwala.com/coolant-disappearing-no-leak/,Coolant Is Disappearing With No Leak? 7 Hidden Causes That Can Destroy Your Engine - Engineer Wala,81,Medium,Low,No external references,Page par koi external reference detect nahi hua.,Technical ya factual claims ke liye zarurat par authoritative source ka relevant link add karo.
2026-08-17T04:05:50Z,https://engineerwala.com/disclaimer/,Disclaimer - Engineer Wala,58,High,Low,No external references,Page par koi external reference detect nahi hua.,Technical ya factual claims ke liye zarurat par authoritative source ka relevant link add karo.
2026-08-17T04:05:50Z,https://engineerwala.com/find-out-why-your-mpg-is-dropping/,Fuel Mileage Calculator: Find Out Why Your MPG Is Dropping - Engineer Wala,81,Medium,Low,No external references,Page par koi external reference detect nahi hua.,Technical ya factual claims ke liye zarurat par authoritative source ka relevant link add karo.
2026-08-17T04:05:50Z,https://engineerwala.com/how-to-find-car-mileage/,How To Find Car Mileage (Accurate Methods + Easy Steps) - Engineer Wala,81,Medium,Low,No external references,Page par koi external reference detect nahi hua.,Technical ya factual claims ke liye zarurat par authoritative source ka relevant link add karo.
2026-08-17T04:05:50Z,https://engineerwala.com/improve-car-fuel-efficiency/,How To Improve Car Fuel Efficiency: 10 Tips That Actually Work - Engineer Wala,81,Medium,Low,No external references,Page par koi external reference detect nahi hua.,Technical ya factual claims ke liye zarurat par authoritative source ka relevant link add karo.
